timestamp,farm_id,anomaly_type,severity,duration_days,description,affected_systems,estimated_loss,mitigation_actions,recovery_time,data_quality_impact,sensor_availability,network_connectivity,latitude,longitude,climate_zone
2025-08-08T22:09:32.559426,farm_0001,sensor_malfunction,medium,3,Anomaly detected: sensor_malfunction,['general'],7009.455621160879,"['monitor_situation', 'consult_experts']",12,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-09T22:09:32.559426,farm_0001,sensor_malfunction,medium,3,Anomaly detected: sensor_malfunction,['general'],7009.455621160879,"['monitor_situation', 'consult_experts']",12,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-10T22:09:32.559426,farm_0001,sensor_malfunction,medium,3,Anomaly detected: sensor_malfunction,['general'],7009.455621160879,"['monitor_situation', 'consult_experts']",12,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-09T22:09:32.559426,farm_0001,equipment_failure,medium,3,Critical equipment failure,"['irrigation', 'harvesting', 'monitoring']",6525.394600203073,"['activate_backup_systems', 'schedule_repair', 'manual_operations']",1,0.5,0.6,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-10T22:09:32.559426,farm_0001,equipment_failure,medium,3,Critical equipment failure,"['irrigation', 'harvesting', 'monitoring']",6525.394600203073,"['activate_backup_systems', 'schedule_repair', 'manual_operations']",1,0.5,0.6,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-11T22:09:32.559426,farm_0001,equipment_failure,medium,3,Critical equipment failure,"['irrigation', 'harvesting', 'monitoring']",6525.394600203073,"['activate_backup_systems', 'schedule_repair', 'manual_operations']",1,0.5,0.6,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-09T22:09:32.559426,farm_0001,data_quality_issues,low,2,Anomaly detected: data_quality_issues,['general'],7445.194196393908,"['monitor_situation', 'consult_experts']",7,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-10T22:09:32.559426,farm_0001,data_quality_issues,low,2,Anomaly detected: data_quality_issues,['general'],7445.194196393908,"['monitor_situation', 'consult_experts']",7,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-11T22:09:32.559426,farm_0001,sensor_malfunction,medium,6,Anomaly detected: sensor_malfunction,['general'],17584.839426229344,"['monitor_situation', 'consult_experts']",2,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-12T22:09:32.559426,farm_0001,sensor_malfunction,medium,6,Anomaly detected: sensor_malfunction,['general'],17584.839426229344,"['monitor_situation', 'consult_experts']",2,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-13T22:09:32.559426,farm_0001,sensor_malfunction,medium,6,Anomaly detected: sensor_malfunction,['general'],17584.839426229344,"['monitor_situation', 'consult_experts']",2,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-14T22:09:32.559426,farm_0001,sensor_malfunction,medium,6,Anomaly detected: sensor_malfunction,['general'],17584.839426229344,"['monitor_situation', 'consult_experts']",2,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-15T22:09:32.559426,farm_0001,sensor_malfunction,medium,6,Anomaly detected: sensor_malfunction,['general'],17584.839426229344,"['monitor_situation', 'consult_experts']",2,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-16T22:09:32.559426,farm_0001,sensor_malfunction,medium,6,Anomaly detected: sensor_malfunction,['general'],17584.839426229344,"['monitor_situation', 'consult_experts']",2,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-14T22:09:32.559426,farm_0001,equipment_failure,medium,2,Critical equipment failure,"['irrigation', 'harvesting', 'monitoring']",3710.1735215917292,"['activate_backup_systems', 'schedule_repair', 'manual_operations']",2,0.5,0.6,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-15T22:09:32.559426,farm_0001,equipment_failure,medium,2,Critical equipment failure,"['irrigation', 'harvesting', 'monitoring']",3710.1735215917292,"['activate_backup_systems', 'schedule_repair', 'manual_operations']",2,0.5,0.6,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-15T22:09:32.559426,farm_0001,sensor_malfunction,medium,5,Anomaly detected: sensor_malfunction,['general'],16706.825318860363,"['monitor_situation', 'consult_experts']",10,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-16T22:09:32.559426,farm_0001,sensor_malfunction,medium,5,Anomaly detected: sensor_malfunction,['general'],16706.825318860363,"['monitor_situation', 'consult_experts']",10,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-17T22:09:32.559426,farm_0001,sensor_malfunction,medium,5,Anomaly detected: sensor_malfunction,['general'],16706.825318860363,"['monitor_situation', 'consult_experts']",10,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-18T22:09:32.559426,farm_0001,sensor_malfunction,medium,5,Anomaly detected: sensor_malfunction,['general'],16706.825318860363,"['monitor_situation', 'consult_experts']",10,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-19T22:09:32.559426,farm_0001,sensor_malfunction,medium,5,Anomaly detected: sensor_malfunction,['general'],16706.825318860363,"['monitor_situation', 'consult_experts']",10,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-19T22:09:32.559426,farm_0001,equipment_failure,medium,1,Critical equipment failure,"['irrigation', 'harvesting', 'monitoring']",4547.108575718893,"['activate_backup_systems', 'schedule_repair', 'manual_operations']",1,0.5,0.6,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-19T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-20T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-21T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-22T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-23T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-24T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
2025-08-25T22:09:32.559426,farm_0001,supply_chain_disruption,high,7,Anomaly detected: supply_chain_disruption,['general'],7228.5657314927685,"['monitor_situation', 'consult_experts']",6,0.1,0.8,0.9,28.90142861281983,-80.5360121163772,tropical
