timestamp,farm_id,latitude,longitude,climate_zone,ndvi,ndwi,evi,savi,gci,nir_band,red_band,green_band,blue_band,crop_health_score,water_stress_index,growth_stage,cloud_cover,image_quality,day_of_year
2025-08-06T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.1517,0.1096,0.237,0.1962,0.2306,0.344,0.2226,0.1832,0.07,20.161,2.105,germination,0.01921611060179321,0.8039224843478885,218
2025-08-07T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.1584,0.1623,0.1635,0.111,0.1476,0.237,0.1714,0.0983,0.0275,15.827,0.0,germination,0.011916788590902672,0.9278418697797829,219
2025-08-08T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.3968,0.2228,0.0023,0.1796,0.0702,0.3217,0.1534,0.134,0.1273,17.365,8.698,germination,0.2117573088878017,0.927965455127214,220
2025-08-09T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2326,0.2589,0.1696,0.3499,-0.1999,0.309,0.1897,0.1817,0.1202,12.088,0.0,germination,0.24575257164815617,0.8230626882914355,221
2025-08-10T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.1218,0.1325,0.3021,0.1231,-0.0726,0.3191,0.0725,0.1156,0.0383,15.504,0.0,germination,0.11371824292911177,0.9046168214444962,222
2025-08-12T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.1647,0.0283,0.3515,0.0825,0.1755,0.2853,0.1708,0.0667,0.0724,24.159,6.821,germination,0.19942389800553875,0.8728319884580092,224
2025-08-13T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.1906,0.2172,0.1344,0.2328,0.0962,0.4053,0.2343,0.0866,0.0368,14.926,0.0,germination,0.10074748765646842,0.9646270261377903,225
2025-08-16T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.4127,-0.0293,0.146,0.0095,0.0327,0.2381,0.179,0.1963,0.0617,23.0,22.1,germination,0.10489289511436985,0.887290097326813,228
2025-08-17T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,-0.0005,0.13,0.3129,0.2551,-0.0952,0.3485,0.1674,0.1203,0.2425,10.592,0.0,germination,0.01549933886536402,0.9990465327309033,229
2025-08-19T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2421,-0.0001,0.2568,0.1995,0.0932,0.2352,0.1344,0.2366,0.0427,21.819,12.111,germination,0.14766846720423413,0.8222272647604354,231
2025-08-20T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2141,0.0118,0.2557,0.3064,0.0702,0.4025,0.2874,0.2184,0.1709,20.196,10.115,germination,0.020358191269390733,0.9854181046015764,232
2025-08-21T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2079,0.2169,0.0954,0.2429,-0.0323,0.3639,0.1904,0.1638,0.0697,11.486,0.0,germination,0.05732158827347825,0.8544661885283144,233
2025-08-22T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2701,0.0086,0.2733,0.2733,0.1156,0.3188,0.2129,0.2225,0.0937,24.049,13.076,germination,0.09081372251767467,0.9680388122900571,234
2025-08-23T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.3585,0.0229,0.1029,0.0172,-0.0592,0.3266,0.2902,0.2454,0.1476,17.269,16.776,germination,0.12677534377333455,0.9414871136463292,235
2025-08-24T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.4343,0.188,0.2418,0.1072,-0.0274,0.36,0.2739,0.1887,0.1839,26.494,12.316,germination,0.2425328532800294,0.8822198918166655,236
2025-08-26T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2356,0.175,0.2113,0.1859,0.154,0.4315,0.2779,0.1458,0.1309,20.956,3.032,germination,0.03837107896568757,0.9630016720299784,238
2025-08-27T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.1956,0.0372,0.2392,-0.0041,0.0068,0.2837,0.217,0.1772,0.0782,17.531,7.923,germination,0.019269589510301544,0.8329922541476423,239
2025-08-28T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2764,-0.1036,0.1127,0.1016,-0.0602,0.2976,0.1605,0.1578,0.0835,14.357,18.999,germination,0.2522927276373942,0.9964745547504315,240
2025-08-29T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2698,0.0327,0.1232,0.1757,0.1793,0.3546,0.2612,0.2155,0.1261,19.306,11.853,germination,0.1904846032736608,0.8250806777724556,241
2025-08-30T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2124,0.233,0.1363,0.147,0.269,0.329,0.2773,0.2412,0.0946,19.325,0.0,germination,0.1376441335317532,0.9167415772458702,242
2025-08-31T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2745,0.1288,-0.064,-0.0012,0.1172,0.3387,0.1867,0.2488,0.1356,10.763,7.284,germination,0.19295081210384754,0.8071063890173578,243
2025-09-02T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.3381,0.363,0.2381,0.2066,0.0879,0.364,0.2485,0.1851,0.0818,24.806,0.0,germination,0.19704102104049528,0.8694742560162477,245
2025-09-03T22:09:31.269207,farm_0001,28.90142861281983,-80.5360121163772,tropical,0.2101,0.2122,0.1056,0.1178,0.0378,0.3756,0.283,0.1709,0.1194,13.382,0.0,germination,0.019213331364425833,0.9264394155361917,246
2025-08-07T22:09:31.269207,farm_0002,39.31203728088487,-89.53201643899139,continental,0.1178,0.1594,-0.0135,0.159,0.049,0.2813,0.2329,0.1584,0.1192,5.15,0.0,germination,0.22208830246638966,0.8928861958679553,219
2025-08-08T22:09:31.269207,farm_0002,39.31203728088487,-89.53201643899139,continental,0.1413,0.1153,0.1949,0.3019,0.1243,0.2954,0.198,0.0761,0.1739,15.935,1.301,germination,0.23922807292669995,0.8620752129085051,220
2025-08-09T22:09:31.269207,farm_0002,39.31203728088487,-89.53201643899139,continental,0.2488,0.0773,0.0924,0.2104,-0.0389,0.3324,0.1901,0.1429,0.061,12.868,8.574,germination,0.21938098532796063,0.925374488733399,221
2025-08-11T22:09:31.269207,farm_0002,39.31203728088487,-89.53201643899139,continental,0.253,0.1813,-0.0004,0.0672,-0.0242,0.2855,0.1994,0.1187,0.1632,9.622,3.588,germination,0.06970431290554731,0.9547927753302186,223
